email;first_name;last_name;date_sign_up
alice.wonderland@example.com;Alice;Wonderland;2023-05-15
bob.marley@example.com;Bob;Marley;2023-06-20
carol.danvers@example.com;Carol;Danvers;2023-07-01
david.ross@example.com;David;Ross;2023-08-12
emily.stone@example.com;Emily;Stone;2023-09-25
frank.zappa@example.com;Frank;Zappa;2023-10-03
grace.hopper@example.com;Grace;Hopper;2023-11-10
harry.potter@example.com;Harry;Potter;2023-12-18
isabella.garcia@example.com;Isabella;Garcia;2024-01-08
jack.miller@example.com;Jack;Miller;2024-02-14

